Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Observer(s) Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur (cm),Deuxième mesure de l’épaisseur (cm),Initiales de l’observateur
31,7,2000,28,54.1,62,"CM, GW, JD"
31,7,2000,29,57.8,28,"CM, GW, JD"
31,7,2000,30,63.2,52,"CM, GW, JD"
31,7,2000,31,62.3,63.1,"CM, GW, JD"
31,7,2000,32,68.9,64.2,"CM, GW, JD"
31,7,2000,33,53.8,54.1,"CM, GW, JD"
31,7,2000,34,49.7,58,"CM, GW, JD"
31,7,2000,35,56,61.4,"CM, GW, JD"
31,7,2000,36,47.4,57.9,"CM, GW, JD"
31,7,2000,37,57.6,58.9,"CM, GW, JD"
31,7,2000,38,57.8,51.1,"CM, GW, JD"
31,7,2000,39,39.1,43.5,"CM, GW, JD"
31,7,2000,40,59,61.4,"CM, GW, JD"
31,7,2000,41,60,60.4,"CM, GW, JD"
31,7,2000,42,57.4,61,"CM, GW, JD"
31,7,2000,43,56,51.6,"CM, GW, JD"
31,7,2000,44,58.4,38.3,"CM, GW, JD"
31,7,2000,45,29,47.8,"CM, GW, JD"
31,7,2000,46,44.5,49.1,"CM, GW, JD"
31,7,2000,47,62.1,56.1,"CM, GW, JD"
31,7,2000,48,57.6,60,"CM, GW, JD"
31,7,2000,49,61.7,50.8,"CM, GW, JD"
31,7,2000,50,46.2,63.6,"CM, GW, JD"
31,7,2000,51,54.1,54.8,"CM, GW, JD"
31,7,2000,52,56.7,34.8,"CM, GW, JD"
31,7,2000,53,45.5,44.5,"CM, GW, JD"
31,7,2000,54,51,51.7,"CM, GW, JD"
31,7,2000,55,54.3,57.5,"CM, GW, JD"
31,7,2000,56,43.1,47.5,"CM, GW, JD"
31,7,2000,57,58.9,44.8,"CM, GW, JD"
31,7,2000,58,62.4,36.5,"CM, GW, JD"
31,7,2000,59,57.1,57.6,"CM, GW, JD"
31,7,2000,60,54.6,55.9,"CM, GW, JD"
31,7,2000,61,53.4,55.5,"CM, GW, JD"
31,7,2000,62,60.4,53.9,"CM, GW, JD"
31,7,2000,63,41.4,54,"CM, GW, JD"
31,7,2000,64,63.2,53.3,"CM, GW, JD"
31,7,2000,65,66.5,45.9,"CM, GW, JD"
31,7,2000,66,61.9,65.2,"CM, GW, JD"
31,7,2000,67,63.5,59,"CM, GW, JD"
31,7,2000,68,49.7,51,"CM, GW, JD"
31,7,2000,69,57.4,52,"CM, GW, JD"
31,7,2000,70,49.9,49.6,"CM, GW, JD"
31,7,2000,71,49.6,53,"CM, GW, JD"
31,7,2000,72,47.2,48.5,"CM, GW, JD"
31,7,2000,73,59.5,67,"CM, GW, JD"
31,7,2000,74,62.8,49.8,"CM, GW, JD"
31,7,2000,75,60.8,51,"CM, GW, JD"
31,7,2000,76,53,52.8,"CM, GW, JD"
31,7,2000,77,63.1,51.7,"CM, GW, JD"
31,7,2000,78,46.9,51.5,"CM, GW, JD"
31,7,2000,79,26.5,45.6,"CM, GW, JD"
31,7,2000,80,44.6,30.7,"CM, GW, JD"
31,7,2000,81,46.5,42.6,"CM, GW, JD"
31,7,2000,82,54.6,49.3,"CM, GW, JD"
31,7,2000,83,63,63,"CM, GW, JD"
31,7,2000,84,46.2,55.4,"CM, GW, JD"
31,7,2000,85,55.2,50.8,"CM, GW, JD"
31,7,2000,86,54.6,62.7,"CM, GW, JD"
31,7,2000,87,42.8,46.2,"CM, GW, JD"
31,7,2000,88,51.5,51.2,"CM, GW, JD"
31,7,2000,89,42.1,48.8,"CM, GW, JD"
31,7,2000,90,47.5,30.1,"CM, GW, JD"
31,7,2000,91,53.6,57.3,"CM, GW, JD"
31,7,2000,92,66.1,61.9,"CM, GW, JD"
31,7,2000,93,60.8,56.5,"CM, GW, JD"
31,7,2000,94,55.5,62.2,"CM, GW, JD"
31,7,2000,95,50.7,65,"CM, GW, JD"
31,7,2000,96,53.5,56,"CM, GW, JD"
31,7,2000,97,48.8,54.8,"CM, GW, JD"
31,7,2000,98,47.7,45.1,"CM, GW, JD"
31,7,2000,99,49.1,24.2,"CM, GW, JD"
31,7,2000,100,48.8,57.2,"CM, GW, JD"
26,8,2001,1,71.6,65.9,"MY, JE, DS, PR"
26,8,2001,2,67.4,67.2,"MY, JE, DS, PR"
26,8,2001,3,57.9,57.4,"MY, JE, DS, PR"
26,8,2001,4,64.5,64.8,"MY, JE, DS, PR"
26,8,2001,5,62.4,66,"MY, JE, DS, PR"
26,8,2001,6,61.4,66.2,"MY, JE, DS, PR"
26,8,2001,7,57.4,61.4,"MY, JE, DS, PR"
26,8,2001,8,60.3,67,"MY, JE, DS, PR"
26,8,2001,9,66.4,67.4,"MY, JE, DS, PR"
26,8,2001,10,54.6,56.3,"MY, JE, DS, PR"
26,8,2001,11,47.3,54.3,"MY, JE, DS, PR"
26,8,2001,12,69.1,66.3,"MY, JE, DS, PR"
26,8,2001,13,46,47.1,"MY, JE, DS, PR"
26,8,2001,14,56.8,60.4,"MY, JE, DS, PR"
26,8,2001,15,57.5,60.2,"MY, JE, DS, PR"
26,8,2001,16,46.3,44.9,"MY, JE, DS, PR"
26,8,2001,17,43.8,49.5,"MY, JE, DS, PR"
26,8,2001,18,60.9,63.8,"MY, JE, DS, PR"
26,8,2001,19,53.4,52.3,"MY, JE, DS, PR"
26,8,2001,20,65.6,65.5,"MY, JE, DS, PR"
26,8,2001,21,64.3,66.6,"MY, JE, DS, PR"
26,8,2001,22,60.5,62.5,"MY, JE, DS, PR"
26,8,2001,23,60,61.8,"MY, JE, DS, PR"
26,8,2001,24,44.7,45.6,"MY, JE, DS, PR"
26,8,2001,25,50.6,54.1,"MY, JE, DS, PR"
26,8,2001,26,59.7,61.5,"MY, JE, DS, PR"
26,8,2001,27,50.7,51.9,"MY, JE, DS, PR"
26,8,2001,28,61.4,61.6,"MY, JE, DS, PR"
26,8,2001,29,61.1,61,"MY, JE, DS, PR"
26,8,2001,30,65.5,67,"MY, JE, DS, PR"
26,8,2001,31,61.8,62.7,"MY, JE, DS, PR"
26,8,2001,32,64.6,65.7,"MY, JE, DS, PR"
26,8,2001,33,47.8,52.1,"MY, JE, DS, PR"
26,8,2001,34,62.2,63.9,"MY, JE, DS, PR"
26,8,2001,35,58.1,60.3,"MY, JE, DS, PR"
26,8,2001,36,38.5,42,"MY, JE, DS, PR"
26,8,2001,37,61.5,51.6,"MY, JE, DS, PR"
26,8,2001,38,63.7,62.6,"MY, JE, DS, PR"
