Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
4,8,2014,37,22,22,FG,"MM, MNQ"
4,8,2014,38,23,21,FG,"MM, MNQ"
4,8,2014,39,22,23,FG,"MM, MNQ"
4,8,2014,40,29,30,FG,"MM, MNQ"
4,8,2014,41,26,27,FG,"MM, MNQ"
4,8,2014,42,45,48,FG,"MM, MNQ"
4,8,2014,43,35,35,FG,"MM, MNQ"
4,8,2014,44,21,21,FG,"MM, MNQ"
4,8,2014,45,17,21,R,"MM, MNQ"
4,8,2014,46,27,24,FG,"MM, MNQ"
4,8,2014,47,19.5,20,FG,"MM, MNQ"
4,8,2014,48,25,24,R,"MM, MNQ"
4,8,2014,49,20.5,20,FG,"MM, MNQ"
4,8,2014,50,32,33,FG,"MM, MNQ"
4,8,2014,51,39,39,FG,"MM, MNQ"
4,8,2014,52,34,32,FG,"MM, MNQ"
4,8,2014,53,23,38,R,"MM, MNQ"
4,8,2014,54,33.5,24,FG,"MM, MNQ"
4,8,2014,55,24,23,FG,"MM, MNQ"
4,8,2014,56,27,27,FG,"MM, MNQ"
4,8,2014,57,29,29,FG,"MM, MNQ"
4,8,2014,58,23,23,R,"MM, MNQ"
4,8,2014,59,25,23.5,FG,"MM, MNQ"
4,8,2014,60,22.5,22,FG,"MM, MNQ"
4,8,2014,61,37,46,FG,"MM, MNQ"
4,8,2014,62,38,34,FG,"MM, MNQ"
4,8,2014,63,24,23,R,"MM, MNQ"
4,8,2014,64,24,25,FG,"MM, MNQ"
4,8,2014,65,49,39,FG,"MM, MNQ"
4,8,2014,66,22,25,R,"MM, MNQ"
4,8,2014,67,22,19,R,"MM, MNQ"
4,8,2014,68,27,26,FG,"MM, MNQ"
4,8,2014,69,18,16,R,"MM, MNQ"
4,8,2014,70,27,23,FG,"MM, MNQ"
4,8,2014,71,30,27,FG,"MM, MNQ"
4,8,2014,72,46,43,FG,"MM, MNQ"
4,8,2014,73,35,45,FG,"MM, MNQ"
4,8,2014,74,37,33.5,FG,"MM, MNQ"
4,8,2014,75,30,28,FG,"MM, MNQ"
4,8,2014,76,23,22,FG,"MM, MNQ"
4,8,2014,77,21,21,FG,"MM, MNQ"
4,8,2014,78,22,22,FG,"MM, MNQ"
4,8,2014,79,21,23,FG,"MM, MNQ"
4,8,2014,80,24,28,FG,"MM, MNQ"
4,8,2014,81,40,48,FG,"MM, MNQ"
4,8,2014,82,35,39,FG,"MM, MNQ"
4,8,2014,83,28,27,FG,"MM, MNQ"
4,8,2014,84,35,34,FG,"MM, MNQ"
4,8,2014,85,31,31.5,FG,"MM, MNQ"
4,8,2014,86,38,37,FG,"MM, MNQ"
4,8,2014,87,24.5,25,FG,"MM, MNQ"
4,8,2014,88,23,23,FG,"MM, MNQ"
4,8,2014,89,22,22,FG,"MM, MNQ"
4,8,2014,90,21,23,FG,"MM, MNQ"
4,8,2014,91,29,29,FG,"MM, MNQ"
4,8,2014,92,26,25.5,FG,"MM, MNQ"
4,8,2014,93,50,48,FG,"MM, MNQ"
4,8,2014,94,35,41,FG,"MM, MNQ"
4,8,2014,95,32,33,FG,"MM, MNQ"
4,8,2014,96,30,31,FG,"MM, MNQ"
4,8,2014,97,22,26,FG,"MM, MNQ"
4,8,2014,98,28,29,FG,"MM, MNQ"
4,8,2014,99,21,23,FG,"MM, MNQ"
4,8,2014,100,25,24,FG,"MM, MNQ"
15,8,2015,1,25,32,FG,"JG, MNQ, CC"
15,8,2015,2,22,21,FG,"JG, MNQ, CC"
15,8,2015,3,21,19,FG,"JG, MNQ, CC"
15,8,2015,4,25,24,FG,"JG, MNQ, CC"
15,8,2015,5,19,24,FG,"JG, MNQ, CC"
15,8,2015,6,20,21,FG,"JG, MNQ, CC"
15,8,2015,7,21,19,FG,"JG, MNQ, CC"
15,8,2015,8,23,25,FG,"JG, MNQ, CC"
15,8,2015,9,26,22,FG,"JG, MNQ, CC"
15,8,2015,10,22,25,FG,"JG, MNQ, CC"
15,8,2015,11,37,35,FG,"JG, MNQ, CC"
15,8,2015,12,26,30,FG,"JG, MNQ, CC"
15,8,2015,13,32,27,FG,"JG, MNQ, CC"
15,8,2015,14,26,26,FG,"JG, MNQ, CC"
15,8,2015,15,22,20,FG,"JG, MNQ, CC"
15,8,2015,16,21,22,FG,"JG, MNQ, CC"
15,8,2015,17,23,23,FG,"JG, MNQ, CC"
15,8,2015,18,21,23,FG,"JG, MNQ, CC"
15,8,2015,19,21,23,FG,"JG, MNQ, CC"
15,8,2015,20,24,31,FG,"JG, MNQ, CC"
15,8,2015,21,33,30,FG,"JG, MNQ, CC"
15,8,2015,22,25,25,FG,"JG, MNQ, CC"
15,8,2015,23,24,25,FG,"JG, MNQ, CC"
15,8,2015,24,19,17,FG,"JG, MNQ, CC"
15,8,2015,25,28,34,FG,"JG, MNQ, CC"
15,8,2015,26,23,22,FG,"JG, MNQ, CC"
15,8,2015,27,21,20,FG,"JG, MNQ, CC"
15,8,2015,28,20,18,FG,"JG, MNQ, CC"
15,8,2015,29,38,39,FG,"JG, MNQ, CC"
15,8,2015,30,26,34,FG,"JG, MNQ, CC"
15,8,2015,31,38,41,FG,"JG, MNQ, CC"
15,8,2015,32,25,27,FG,"JG, MNQ, CC"
15,8,2015,33,22,22,FG,"JG, MNQ, CC"
15,8,2015,34,21,21,FG,"JG, MNQ, CC"
15,8,2015,35,23,23,FG,"JG, MNQ, CC"
15,8,2015,36,23,27,FG,"JG, MNQ, CC"
15,8,2015,37,19,21,FG,"JG, MNQ, CC"
15,8,2015,38,22,21,FG,"JG, MNQ, CC"
15,8,2015,39,20,22,FG,"JG, MNQ, CC"
15,8,2015,40,29,23,FG,"JG, MNQ, CC"
15,8,2015,41,23,22,FG,"JG, MNQ, CC"
15,8,2015,42,32,38,FG,"JG, MNQ, CC"
15,8,2015,43,29,26,FG,"JG, MNQ, CC"
15,8,2015,44,16,21,FG,"JG, MNQ, CC"
15,8,2015,45,17,20,FG,"JG, MNQ, CC"
15,8,2015,46,22,23,FG,"JG, MNQ, CC"
15,8,2015,47,19,18,FG,"JG, MNQ, CC"
15,8,2015,48,24,22,FG,"JG, MNQ, CC"
15,8,2015,49,23,24,FG,"JG, MNQ, CC"
15,8,2015,50,29,28,FG,"JG, MNQ, CC"
15,8,2015,51,36,35,FG,"JG, MNQ, CC"
15,8,2015,52,33,30,FG,"JG, MNQ, CC"
15,8,2015,53,25,29,FG,"JG, MNQ, CC"
15,8,2015,54,23,26,FG,"JG, MNQ, CC"
15,8,2015,55,20,22,FG,"JG, MNQ, CC"
15,8,2015,56,21,22,FG,"JG, MNQ, CC"
15,8,2015,57,25,24,FG,"JG, MNQ, CC"
15,8,2015,58,21,20,FG,"JG, MNQ, CC"
15,8,2015,59,23,21,FG,"JG, MNQ, CC"
15,8,2015,60,22,21,FG,"JG, MNQ, CC"
15,8,2015,61,44,36,FG,"JG, MNQ, CC"
15,8,2015,62,33,36,FG,"JG, MNQ, CC"
15,8,2015,63,20,22,FG,"JG, MNQ, CC"
15,8,2015,64,25,24,FG,"JG, MNQ, CC"
15,8,2015,65,42,36,FG,"JG, MNQ, CC"
15,8,2015,66,26,26,FG,"JG, MNQ, CC"
15,8,2015,67,19,21,FG,"JG, MNQ, CC"
15,8,2015,68,24,23,FG,"JG, MNQ, CC"
15,8,2015,69,21,20,FG,"JG, MNQ, CC"
15,8,2015,70,24,21,FG,"JG, MNQ, CC"
15,8,2015,71,29,42,FG,"JG, MNQ, CC"
15,8,2015,72,35,43,FG,"JG, MNQ, CC"
15,8,2015,73,38,43,FG,"JG, MNQ, CC"
15,8,2015,74,31,30,FG,"JG, MNQ, CC"
15,8,2015,75,26,28,FG,"JG, MNQ, CC"
15,8,2015,76,22,20,FG,"JG, MNQ, CC"
15,8,2015,77,22,22,FG,"JG, MNQ, CC"
15,8,2015,78,21,21,FG,"JG, MNQ, CC"
15,8,2015,79,18,18,FG,"JG, MNQ, CC"
15,8,2015,80,25,25,FG,"JG, MNQ, CC"
15,8,2015,81,19,32,FG,"JG, MNQ, CC"
15,8,2015,82,35,23,FG,"JG, MNQ, CC"
15,8,2015,83,29,28,FG,"JG, MNQ, CC"
15,8,2015,84,28,28,FG,"JG, MNQ, CC"
15,8,2015,85,28,29,FG,"JG, MNQ, CC"
15,8,2015,86,37,21,FG,"JG, MNQ, CC"
15,8,2015,87,23,20,FG,"JG, MNQ, CC"
15,8,2015,88,20,19,FG,"JG, MNQ, CC"
15,8,2015,89,22,22,FG,"JG, MNQ, CC"
15,8,2015,90,21,22,FG,"JG, MNQ, CC"
15,8,2015,91,30,31,FG,"JG, MNQ, CC"
15,8,2015,92,26,26,FG,"JG, MNQ, CC"
15,8,2015,93,45,39,FG,"JG, MNQ, CC"
15,8,2015,94,23,31,FG,"JG, MNQ, CC"
15,8,2015,95,29,31,FG,"JG, MNQ, CC"
15,8,2015,96,30,29,FG,"JG, MNQ, CC"
15,8,2015,97,21,23,FG,"JG, MNQ, CC"
15,8,2015,98,24,25,FG,"JG, MNQ, CC"
15,8,2015,99,22,17,FG,"JG, MNQ, CC"
15,8,2015,100,19,23,FG,"JG, MNQ, CC"
17,8,2016,1,30,25,FG,"MNQ, DK"
17,8,2016,2,30,20,FG,"MNQ, DK"
17,8,2016,3,23,23,FG,"MNQ, DK"
17,8,2016,4,33,30,FG,"MNQ, DK"
17,8,2016,5,28,30,FG,"MNQ, DK"
17,8,2016,6,28,28,FG,"MNQ, DK"
17,8,2016,7,25,25,FG,"MNQ, DK"
17,8,2016,8,36,36,FG,"MNQ, DK"
17,8,2016,9,36,38,FG,"MNQ, DK"
17,8,2016,10,48,48,FG,"MNQ, DK"
17,8,2016,11,48,46,FG,"MNQ, DK"
17,8,2016,12,33,36,FG,"MNQ, DK"
17,8,2016,13,36,33,FG,"MNQ, DK"
17,8,2016,14,33,33,FG,"MNQ, DK"
17,8,2016,15,23,25,FG,"MNQ, DK"
17,8,2016,16,25,30,FG,"MNQ, DK"
17,8,2016,17,33,28,FG,"MNQ, DK"
17,8,2016,18,25,25,FG,"MNQ, DK"
17,8,2016,19,25,30,FG,"MNQ, DK"
17,8,2016,20,30,38,FG,"MNQ, DK"
17,8,2016,21,38,35,FG,"MNQ, DK"
17,8,2016,22,30,25,FG,"MNQ, DK"
17,8,2016,23,30,27,FG,"MNQ, DK"
17,8,2016,24,25,23,FG,"MNQ, DK"
17,8,2016,25,38,-99999,FG,"MNQ, DK"
17,8,2016,26,25,27,FG,"MNQ, DK"
17,8,2016,27,20,23,FG,"MNQ, DK"
17,8,2016,28,23,20,FG,"MNQ, DK"
17,8,2016,29,46,43,FG,"MNQ, DK"
17,8,2016,30,23,41,FG,"MNQ, DK"
17,8,2016,31,41,46,FG,"MNQ, DK"
17,8,2016,32,31,33,FG,"MNQ, DK"
17,8,2016,33,25,28,FG,"MNQ, DK"
17,8,2016,34,20,18,FG,"MNQ, DK"
17,8,2016,35,28,28,FG,"MNQ, DK"
17,8,2016,36,25,33,FG,"MNQ, DK"
17,8,2016,37,25,25,FG,"MNQ, DK"
17,8,2016,38,28,28,FG,"MNQ, DK"
17,8,2016,39,33,28,FG,"MNQ, DK"
17,8,2016,40,31,43,FG,"MNQ, DK"
17,8,2016,41,28,25,FG,"MNQ, DK"
17,8,2016,42,46,41,FG,"MNQ, DK"
17,8,2016,43,33,31,FG,"MNQ, DK"
17,8,2016,44,25,20,FG,"MNQ, DK"
17,8,2016,45,23,23,FG,"MNQ, DK"
17,8,2016,46,25,25,FG,"MNQ, DK"
17,8,2016,47,23,25,FG,"MNQ, DK"
17,8,2016,48,25,28,FG,"MNQ, DK"
17,8,2016,49,31,31,FG,"MNQ, DK"
17,8,2016,50,41,31,FG,"MNQ, DK"
17,8,2016,51,41,38,FG,"MNQ, DK"
17,8,2016,52,33,36,FG,"MNQ, DK"
17,8,2016,53,43,36,FG,"MNQ, DK"
17,8,2016,54,28,36,FG,"MNQ, DK"
17,8,2016,55,25,25,FG,"MNQ, DK"
17,8,2016,56,31,28,FG,"MNQ, DK"
17,8,2016,57,38,33,FG,"MNQ, DK"
17,8,2016,58,25,28,FG,"MNQ, DK"
17,8,2016,59,31,28,FG,"MNQ, DK"
17,8,2016,60,38,33,FG,"MNQ, DK"
17,8,2016,61,51,36,FG,"MNQ, DK"
17,8,2016,62,41,41,FG,"MNQ, DK"
17,8,2016,63,28,33,FG,"MNQ, DK"
17,8,2016,64,31,25,FG,"MNQ, DK"
17,8,2016,65,56,46,FG,"MNQ, DK"
17,8,2016,66,31,31,FG,"MNQ, DK"
17,8,2016,67,25,25,FG,"MNQ, DK"
17,8,2016,68,31,28,FG,"MNQ, DK"
17,8,2016,69,23,20,FG,"MNQ, DK"
17,8,2016,70,33,33,FG,"MNQ, DK"
17,8,2016,71,51,58,FG,"MNQ, DK"
17,8,2016,72,48,53,FG,"MNQ, DK"
17,8,2016,73,43,58,FG,"MNQ, DK"
17,8,2016,74,36,46,FG,"MNQ, DK"
17,8,2016,75,31,31,FG,"MNQ, DK"
17,8,2016,76,25,28,FG,"MNQ, DK"
17,8,2016,77,25,23,FG,"MNQ, DK"
17,8,2016,78,25,25,FG,"MNQ, DK"
17,8,2016,79,20,20,FG,"MNQ, DK"
17,8,2016,80,41,33,FG,"MNQ, DK"
17,8,2016,81,58,38,FG,"MNQ, DK"
17,8,2016,82,46,46,FG,"MNQ, DK"
17,8,2016,83,38,38,FG,"MNQ, DK"
17,8,2016,84,43,41,FG,"MNQ, DK"
17,8,2016,85,38,38,FG,"MNQ, DK"
17,8,2016,86,36,38,FG,"MNQ, DK"
17,8,2016,87,31,28,FG,"MNQ, DK"
17,8,2016,88,25,25,FG,"MNQ, DK"
17,8,2016,89,28,25,FG,"MNQ, DK"
17,8,2016,90,25,23,FG,"MNQ, DK"
17,8,2016,91,38,38,FG,"MNQ, DK"
17,8,2016,92,31,31,FG,"MNQ, DK"
17,8,2016,93,53,53,FG,"MNQ, DK"
17,8,2016,94,56,53,FG,"MNQ, DK"
17,8,2016,95,43,38,FG,"MNQ, DK"
17,8,2016,96,38,38,FG,"MNQ, DK"
17,8,2016,97,31,31,FG,"MNQ, DK"
17,8,2016,98,31,28,FG,"MNQ, DK"
17,8,2016,99,23,28,FG,"MNQ, DK"
17,8,2016,100,31,23,FG,"MNQ, DK"
31,7,2017,1,26,29,FG,MM
31,7,2017,2,23,20,FG,MM
31,7,2017,3,20,18,FG,MM
31,7,2017,4,28,24,FG,MM
31,7,2017,5,20,24,R,MM
31,7,2017,6,20,19,FG,MM
31,7,2017,7,21,22,FG,MM
31,7,2017,8,22,23,FG,MM
31,7,2017,9,24,21,FG,MM
31,7,2017,10,29,27,H,MM
31,7,2017,11,27,29,FG,MM
31,7,2017,12,28,28,FG,MM
31,7,2017,13,29,24,FG,MM
31,7,2017,14,27,28,FG,MM
31,7,2017,15,22,18,FG,MM
31,7,2017,16,22,20,FG,MM
31,7,2017,17,22,22,FG,MM
31,7,2017,18,21,22,FG,MM
31,7,2017,19,23,25,FG,MM
31,7,2017,20,22,30,H,MM
31,7,2017,21,31,31,FG,CM
31,7,2017,22,23,23,FG,CM
31,7,2017,23,24,21,FG,CM
31,7,2017,24,18,16,FG,CM
31,7,2017,25,29,29,FG,CM
31,7,2017,26,22,20,FG,CM
31,7,2017,27,21,20,FG,CM
31,7,2017,28,20,20,FG,CM
31,7,2017,29,33,29,FG,CM
31,7,2017,30,29,26,FG,CM
31,7,2017,31,40,36,FG,DK
31,7,2017,32,25,24,FG,DK
31,7,2017,33,22,20,FG,DK
31,7,2017,34,19,18,FG,DK
31,7,2017,35,23,26,FG,DK
31,7,2017,36,20,20,FG,DK
31,7,2017,37,22,20,FG,DK
31,7,2017,38,22,22,FG,DK
31,7,2017,39,21,22,FG,DK
31,7,2017,40,25,21,H,DK
31,7,2017,41,22,21,FG,DK
31,7,2017,42,35,27,FG,DK
31,7,2017,43,29,25,H,DK
31,7,2017,44,18,21,FG,DK
31,7,2017,45,19,18,FG,DK
31,7,2017,46,22,22,FG,DK
31,7,2017,47,19,18,FG,DK
31,7,2017,48,24,24,FG,DK
31,7,2017,49,25,26,FG,DK
31,7,2017,50,26,24,CR,DK
31,7,2017,51,30,31,FG,CM
31,7,2017,52,31,29,FG,CM
31,7,2017,53,21,30,FG,CM
31,7,2017,54,22,27,H,CM
31,7,2017,55,24,24,FG,CM
31,7,2017,56,23,22,CR,CM
31,7,2017,57,21,24,FG,CM
31,7,2017,58,19,19,H,CM
31,7,2017,59,22,25,CR,CM
31,7,2017,60,22,20,FG,CM
31,7,2017,61,26,34,FG,CM
31,7,2017,62,21,29,FG,CM
31,7,2017,63,19,18,FG,CM
31,7,2017,64,19,24,FG,CM
31,7,2017,65,29,25,CR,CM
31,7,2017,66,24,25,FG,CM
31,7,2017,67,21,21,FG,CM
31,7,2017,68,24,24,FG,CM
31,7,2017,69,21,21,H,CM
31,7,2017,70,26,25,H,CM
31,7,2017,71,45,29,FG,MM
31,7,2017,72,28,39,FG,MM
31,7,2017,73,21,50,FG,MM
31,7,2017,74,29,25,FG,MM
31,7,2017,75,25,26,FG,MM
31,7,2017,76,21,23,FG,MM
31,7,2017,77,18,19,FG,MM
31,7,2017,78,20,20,FG,MM
31,7,2017,79,19,20,FG,MM
31,7,2017,80,25,26,CR,MM
31,7,2017,81,41,40,FG,DK
31,7,2017,82,30,31,FG,DK
31,7,2017,83,28,23,FG,DK
31,7,2017,84,23,25,FG,DK
31,7,2017,85,29,28,FG,DK
31,7,2017,86,33,33,FG,DK
31,7,2017,87,22,20,FG,DK
31,7,2017,88,19,21,FG,DK
31,7,2017,89,23,22,FG,DK
31,7,2017,90,17,21,FG,DK
31,7,2017,91,26,24,FG,DK
31,7,2017,92,27,25,FG,DK
31,7,2017,93,45,44,FG,DK
31,7,2017,94,36,39,FG,DK
31,7,2017,95,29,33,FG,DK
31,7,2017,96,33,31,FG,DK
31,7,2017,97,20,24,FG,DK
31,7,2017,98,25,25,FG,DK
31,7,2017,99,21,16,FG,DK
31,7,2017,100,22,21,CR,DK
